title,description,content,source,text,sentiment,topic,topic_name,fake_news_prediction
2026 Writers Guild Awards Winners List - The Hollywood Reporter,"'Sinners,' 'One Battle After Another,' 'The Pitt,' 'The Studio' and 'Dying for Sex' were among the winners at the Roy Wood Jr.-hosted ceremony, held Sunday night in New York.","The 2026 Writers GuildAwards were handed out Sunday in New York.
Sinners took the prize for best original screenplay, with star Miles Caton accepting on Ryan Coogler’s behalf and reading from a note… [+21867 chars]",Hollywood Reporter,"2026 Writers Guild Awards Winners List - The Hollywood Reporter 'Sinners,' 'One Battle After Another,' 'The Pitt,' 'The Studio' and 'Dying for Sex' were among the winners at the Roy Wood Jr.-hosted ceremony, held Sunday night in New York.",0.765,0,Politics,Fake
Trump vows control over Iran leader as death toll of US soldiers rises - Al Jazeera,"Trump says new supreme leader will ‘not last long’ without US approval, hours before Mojtaba Khamenei is selected.","United States President Donald Trump has again asserted that he would exert influence over Irans next supreme leader, saying that whoever is picked for the role without Washingtons approval is not go… [+5820 chars]",Al Jazeera English,"Trump vows control over Iran leader as death toll of US soldiers rises - Al Jazeera Trump says new supreme leader will ‘not last long’ without US approval, hours before Mojtaba Khamenei is selected.",-0.4318,1,Technology,Fake
The Long-Feared Persian Gulf Oil Squeeze Is Upon Us - WSJ,"Traffic through the Strait of Hormuz has ground to a virtual halt, unleashing the most severe energy crisis since the 1970s and threatening the global economy","The chairman of oil producer DNO was flying from New York to Oslo early on Feb. 28 when he told staff to turn off the companys oil wells in Iraq.
America and Israel had just attacked neighboring Ira… [+930 chars]",The Wall Street Journal,"The Long-Feared Persian Gulf Oil Squeeze Is Upon Us - WSJ Traffic through the Strait of Hormuz has ground to a virtual halt, unleashing the most severe energy crisis since the 1970s and threatening the global economy",-0.8511,3,Economy,Fake
Whitmer's office calls for probe into why weather service didn't issue tornado watch - The Detroit News,Whitmer's office questioned whether the lack of a tornado watch alert could be attributed to funding cutbacks at the National Weather Service.,"Michigan Gov. Gretchen Whitmers office on Sunday called for a federal investigation into why no tornado watch was issued before a deadly storm struck southwest Michigan.
Whitmer's office questioned … [+3941 chars]",The Detroit News,Whitmer's office calls for probe into why weather service didn't issue tornado watch - The Detroit News Whitmer's office questioned whether the lack of a tornado watch alert could be attributed to funding cutbacks at the National Weather Service.,-0.128,2,Sports,Fake
"Scoop: U.S. dismayed by Israel's Iran fuel strikes, sources say - Axios","The U.S. message to Israel was ""WTF.""","Israel's strikes on 30 Iranian fuel depots Saturday went far beyond what the U.S. expected when Israel notified it in advance, sparking the first significant disagreement between the allies since the… [+2382 chars]",Axios,"Scoop: U.S. dismayed by Israel's Iran fuel strikes, sources say - Axios The U.S. message to Israel was ""WTF.""",-0.5859,1,Technology,Fake
Will the Pentagon’s Anthropic controversy scare startups away from defense work? - TechCrunch,"On the latest episode of TechCrunch’s Equity podcast, we discussed what the controversy means for other startups seeking to work with the federal government.","In just over a week, negotiations over the Pentagons use of Anthropics Claude technology fell through, the Trump administration designated Anthropic a supply-chain risk, and the AI company said it wo… [+5876 chars]",TechCrunch,"Will the Pentagon’s Anthropic controversy scare startups away from defense work? - TechCrunch On the latest episode of TechCrunch’s Equity podcast, we discussed what the controversy means for other startups seeking to work with the federal government.",-0.4019,3,Economy,Fake
"Difficult people in your life might make you age faster, study suggests - The Washington Post","New research suggests that difficult people, a.k.a. “hasslers,” contribute to chronic stress and elevate epigenetic biomarkers associated with aging.","Spending time with a difficult person can impact your mood in the moment. But over time, these challenging social interactions might also have a detrimental effect on your physical health, possibly m… [+43 chars]",The Washington Post,"Difficult people in your life might make you age faster, study suggests - The Washington Post New research suggests that difficult people, a.k.a. “hasslers,” contribute to chronic stress and elevate epigenetic biomarkers associated with aging.",-0.7783,1,Technology,Fake
"Is Israel reshaping Lebanon, trying to separate Hezbollah from its people? - Al Jazeera","Analysts say Israel’s actions in Lebanon, including mass displacement, are an effort to reshape the country.","Beirut, Lebanon In the past week, the Israeli military has created a mass displacement crisis, killed around 400 people, rained bombs down across Lebanon, including the capital Beirut, and pushed its… [+8414 chars]",Al Jazeera English,"Is Israel reshaping Lebanon, trying to separate Hezbollah from its people? - Al Jazeera Analysts say Israel’s actions in Lebanon, including mass displacement, are an effort to reshape the country.",0.0,1,Technology,Fake
Engineered magnetic films follow graphene's equations for massless electron waves - Phys.org,"The electronic and magnetic properties of two-dimensional materials both have strong potential for technological applications. Researchers have long assumed that they are distinct phenomena, but Illinois Grainger engineers have demonstrated that they share a …","The electronic and magnetic properties of two-dimensional materials both have strong potential for technological applications. Researchers have long assumed that they are distinct phenomena, but Illi… [+4468 chars]",Phys.Org,"Engineered magnetic films follow graphene's equations for massless electron waves - Phys.org The electronic and magnetic properties of two-dimensional materials both have strong potential for technological applications. Researchers have long assumed that they are distinct phenomena, but Illinois Grainger engineers have demonstrated that they share a …",0.6059,3,Economy,Fake
"NVIDIA’s Answer to the GPU Shortage Has Samsung Resurrecting the RTX 3060, and It Might Just Pay Off for Gamers - Wccftech","NVIDIA now plans to bring older GPUs back to life, and Samsung Foundry is preparing to restart production lines for the GeForce RTX 3060.","NVIDIA now plans to bring older GPUs back to life, and according to a new report, Samsung Foundry is preparing to restart production lines for the GeForce RTX 3060.
The consumer GPU industry has see… [+2179 chars]",Wccftech,"NVIDIA’s Answer to the GPU Shortage Has Samsung Resurrecting the RTX 3060, and It Might Just Pay Off for Gamers - Wccftech NVIDIA now plans to bring older GPUs back to life, and Samsung Foundry is preparing to restart production lines for the GeForce RTX 3060.",-0.34,4,Health,Fake
"Sunday Links: Bird Flu Found in California Elephant Seals, Beachgoers Told to Take Caution - SFist",Alysa Liu said a fan followed her to her car when she landed at the airport after the Olympics; SF Environment’s city funding may be reduced by 80% with Lurie’s proposed plan; and an elephant seal near Santa Cruz was infected with the bird flu — the first mam…,"Early morning gunfire broke out during an argument inside EZ's Lounge on 14th Street in downtown Oakland Saturday, killing two people, including an eighth grade teacher, and injuring five others who … [+23 chars]",SFist,"Sunday Links: Bird Flu Found in California Elephant Seals, Beachgoers Told to Take Caution - SFist Alysa Liu said a fan followed her to her car when she landed at the airport after the Olympics; SF Environment’s city funding may be reduced by 80% with Lurie’s proposed plan; and an elephant seal near Santa Cruz was infected with the bird flu — the first mam…",-0.7269,0,Politics,Fake
‘America’s Next Top Model’ Warped Her Story. Dani Evans Is Having the Last Word - Rolling Stone,"For the first time since the release of Netflix's 'Reality Check, America’s Next Top Model,' Dani Evans is sharing her story.",Dani Evans has learned to trust her gut instinct. It’s a habit she’s developed since the events that took place 20 years ago on America’s Next Top Model and after she walked away with the grand prize… [+12722 chars],Rolling Stone,"‘America’s Next Top Model’ Warped Her Story. Dani Evans Is Having the Last Word - Rolling Stone For the first time since the release of Netflix's 'Reality Check, America’s Next Top Model,' Dani Evans is sharing her story.",0.6597,3,Economy,Fake
Trump’s ‘roaring’ economy meets a rough start to 2026: What the latest numbers show - AP News,"President Donald Trump promised that 2026 would be a bumper year for economic growth. Instead it's kicked off with job losses, rising gasoline prices and more uncertainty about America’s future. In his recent State of the Union address, Trump said ""the roarin…","WASHINGTON (AP) President Donald Trump promised that 2026 would be a bumper year for economic growth, but instead it has kicked off with job losses, rising gasoline prices and more uncertainty about … [+6137 chars]",Associated Press,"Trump’s ‘roaring’ economy meets a rough start to 2026: What the latest numbers show - AP News President Donald Trump promised that 2026 would be a bumper year for economic growth. Instead it's kicked off with job losses, rising gasoline prices and more uncertainty about America’s future. In his recent State of the Union address, Trump said ""the roarin…",-0.0754,2,Sports,Fake
Vengeance Day recap: More like Tuesday night - Cageside Seats,It’s giving CW.,"Vengeance Day was flat. It started with a bang and then slowly morphed into a standard NXT Tuesday night show. Sadly, nothing grabbed my attention or inspired me to jot a few hundred words here. Iron… [+4967 chars]",Cageside Seats,Vengeance Day recap: More like Tuesday night - Cageside Seats It’s giving CW.,0.6361,0,Politics,Fake
Popular Weight-Loss Drugs May Also Treat Addiction - SciTechDaily,Drugs best known for treating diabetes and obesity may also dampen the powerful cravings that drive addiction.,"A large study of more than 600,000 U.S. veterans suggests that GLP-1 medications, widely used for diabetes and weight loss, may also reduce the risk of developing substance use disorders. Researchers… [+7381 chars]",SciTechDaily,Popular Weight-Loss Drugs May Also Treat Addiction - SciTechDaily Drugs best known for treating diabetes and obesity may also dampen the powerful cravings that drive addiction.,0.91,3,Economy,Fake
‘One Battle After Another’ Takes Camera Operators Prize - The Hollywood Reporter,'The Studio' does the same on the television side.,"Chalk up another award-season win for One Battle After Another.
Colin Anderson has taken the prize for camera operator of the year in film for his work on the Paul Thomas Anderson epic, whose tablea… [+1739 chars]",Hollywood Reporter,‘One Battle After Another’ Takes Camera Operators Prize - The Hollywood Reporter 'The Studio' does the same on the television side.,0.1779,0,Politics,Fake
Apple's Strange TikTok Videos Capturing Gen Z's Attention - MacRumors,Apple is promoting the MacBook Neo with a series of intentionally strange TikTok videos that are successfully capturing Gen Z's attention.  ...,"Apple is promoting the MacBook Neo with a series of intentionally strange TikTok videos that are successfully capturing Gen Z's attention.
Since Thursday, Apple has been posting the videos in sets o… [+1468 chars]",MacRumors,Apple's Strange TikTok Videos Capturing Gen Z's Attention - MacRumors Apple is promoting the MacBook Neo with a series of intentionally strange TikTok videos that are successfully capturing Gen Z's attention.  ...,0.4767,3,Economy,Fake
Samsung wants to let you vibe code apps and more on future Galaxy phones - 9to5Google,"As Samsung doubles down on AI for its Galaxy smartphones, the company says it is “looking into” ways to bring...","As Samsung doubles down on AI for its Galaxy smartphones, the company says it is “looking into” ways to bring vibe coding into the experience.
Speaking to TechRadar, Samsung said that it is looking … [+1260 chars]",9to5google.com,"Samsung wants to let you vibe code apps and more on future Galaxy phones - 9to5Google As Samsung doubles down on AI for its Galaxy smartphones, the company says it is “looking into” ways to bring...",0.0,4,Health,Fake
